Var1_1	Var1_2	Var1_3	Var1_4	Var1_5	Var1_6	Var1_7	Var1_8
10	1.25	2	0.71	2.6	0.969	1	0.022
11	1.254	2	0.71	2.6	0.969	1	0.026
12	1.254	2	0.71	2.6	0.969	1	0.024
13	1.256	2	0.71	2.6	0.969	1	0.031
14	1.257	2	0.71	2.6	0.969	1	0.039
15	1.258	2	0.71	2.6	0.969	1	0.05
16	1.258	2	0.71	2.6	0.969	1	0.053
17	1.259	2	0.71	2.6	0.969	1	0.064
18	1.259	2	0.71	2.6	0.969	1	0.095
19	1.259	2	0.71	2.6	0.969	1	0.108
20	1.259	2	0.71	2.6	0.969	1	0.119
0	0.264	2	0.71	2.8	0.969	1	0.012
1	0.6	2	0.71	2.8	0.969	1	0.009
2	0.827	2	0.71	2.8	0.969	1	0.01
3	1.006	2	0.71	2.8	0.969	1	0.012
4	1.278	2	0.71	2.8	0.969	1	0.014
5	1.389	2	0.71	2.8	0.969	1	0.014
6	1.455	2	0.71	2.8	0.969	1	0.015
7	1.495	2	0.71	2.8	0.969	1	0.012
8	1.516	2	0.71	2.8	0.969	1	0.015
9	1.525	2	0.71	2.8	0.969	1	0.016
10	1.528	2	0.71	2.8	0.969	1	0.017
11	1.532	2	0.71	2.8	0.969	1	0.02
12	1.535	2	0.71	2.8	0.969	1	0.029
13	1.537	2	0.71	2.8	0.969	1	0.031
14	1.536	2	0.71	2.8	0.969	1	0.055
15	1.537	2	0.71	2.8	0.969	1	0.049
16	1.537	2	0.71	2.8	0.969	1	0.055
17	1.536	2	0.71	2.8	0.969	1	0.07
18	1.537	2	0.71	2.8	0.969	1	0.093
19	1.537	2	0.71	2.8	0.969	1	0.094
20	1.537	2	0.71	2.8	0.969	1	0.119
0	0.262	2	0.71	3	0.969	1	0.009
1	0.594	2	0.71	3	0.969	1	0.008
2	1.191	2	0.71	3	0.969	1	0.012
3	1.544	2	0.71	3	0.969	1	0.009
4	1.785	2	0.71	3	0.969	1	0.009
5	1.924	2	0.71	3	0.969	1	0.011
6	2	2	0.71	3	0.969	1	0.01
7	2.039	2	0.71	3	0.969	1	0.012
8	2.058	2	0.71	3	0.969	1	0.013
9	2.067	2	0.71	3	0.969	1	0.014
10	2.072	2	0.71	3	0.969	1	0.017
11	2.075	2	0.71	3	0.969	1	0.022
12	2.076	2	0.71	3	0.969	1	0.025
13	2.077	2	0.71	3	0.969	1	0.033
14	2.078	2	0.71	3	0.969	1	0.04
15	2.078	2	0.71	3	0.969	1	0.053
16	2.078	2	0.71	3	0.969	1	0.054
17	2.078	2	0.71	3	0.969	1	0.063
18	2.078	2	0.71	3	0.969	1	0.083
19	2.078	2	0.71	3	0.969	1	0.103
20	2.078	2	0.71	3	0.969	1	0.12
