Var1_ 1	Var1_ 2	Var1_ 3	Var1_ 4	Var1_ 5	Var1_ 6	Var1_ 7	Var1_ 8	Var1_ 9	Var1_10
13	2.849	3	0.707	2.2	1.28	0.6	1.1	0.9	14.092
14	2.849	3	0.707	2.2	1.28	0.6	1.1	0.9	27.838
15	2.847	3	0.707	2.2	1.28	0.6	1.1	0.9	41.786
16	2.846	3	0.707	2.2	1.28	0.6	1.1	0.9	41.867
17	2.847	3	0.707	2.2	1.28	0.6	1.1	0.9	42.061
18	2.848	3	0.707	2.2	1.28	0.6	1.1	0.9	42.231
19	2.847	3	0.707	2.2	1.28	0.6	1.1	0.9	42.72
20	2.848	3	0.707	2.2	1.28	0.6	1.1	0.9	42.593
0	0.176	3	0.707	2.4	1.28	0.6	1.1	0.9	0.021
1	0.57	3	0.707	2.4	1.28	0.6	1.1	0.9	0.028
2	0.92	3	0.707	2.4	1.28	0.6	1.1	0.9	0.022
3	1.175	3	0.707	2.4	1.28	0.6	1.1	0.9	0.031
4	1.367	3	0.707	2.4	1.28	0.6	1.1	0.9	0.036
5	1.466	3	0.707	2.4	1.28	0.6	1.1	0.9	0.067
6	1.526	3	0.707	2.4	1.28	0.6	1.1	0.9	0.113
7	1.557	3	0.707	2.4	1.28	0.6	1.1	0.9	0.27
8	1.582	3	0.707	2.4	1.28	0.6	1.1	0.9	0.473
9	1.589	3	0.707	2.4	1.28	0.6	1.1	0.9	1.001
10	1.598	3	0.707	2.4	1.28	0.6	1.1	0.9	2.338
11	1.607	3	0.707	2.4	1.28	0.6	1.1	0.9	4.595
12	1.609	3	0.707	2.4	1.28	0.6	1.1	0.9	9.475
13	1.61	3	0.707	2.4	1.28	0.6	1.1	0.9	13.767
14	1.61	3	0.707	2.4	1.28	0.6	1.1	0.9	27.993
15	1.612	3	0.707	2.4	1.28	0.6	1.1	0.9	42.314
16	1.612	3	0.707	2.4	1.28	0.6	1.1	0.9	41.122
17	1.612	3	0.707	2.4	1.28	0.6	1.1	0.9	41.964
18	1.612	3	0.707	2.4	1.28	0.6	1.1	0.9	41.905
19	1.612	3	0.707	2.4	1.28	0.6	1.1	0.9	40.827
20	1.612	3	0.707	2.4	1.28	0.6	1.1	0.9	41.153
