Var1_1	Var1_2	Var1_3	Var1_4	Var1_5	Var1_6	Var1_7	Var1_8	Var1_9
8	3.304	2	0.707	1.1	0.95	0.3	1	0.018
9	3.306	2	0.707	1.1	0.95	0.3	1	0.019
10	3.308	2	0.707	1.1	0.95	0.3	1	0.019
11	3.309	2	0.707	1.1	0.95	0.3	1	0.027
12	3.309	2	0.707	1.1	0.95	0.3	1	0.028
13	3.31	2	0.707	1.1	0.95	0.3	1	0.037
14	3.311	2	0.707	1.1	0.95	0.3	1	0.046
15	3.31	2	0.707	1.1	0.95	0.3	1	0.055
16	3.31	2	0.707	1.1	0.95	0.3	1	0.064
17	3.31	2	0.707	1.1	0.95	0.3	1	0.063
18	3.311	2	0.707	1.1	0.95	0.3	1	0.097
19	3.311	2	0.707	1.1	0.95	0.3	1	0.127
20	3.311	2	0.707	1.1	0.95	0.3	1	0.137
0	0.476	2	0.707	1.2	0.95	0.3	1	0.012
1	1.104	2	0.707	1.2	0.95	0.3	1	0.009
2	1.585	2	0.707	1.2	0.95	0.3	1	0.009
3	1.883	2	0.707	1.2	0.95	0.3	1	0.009
4	2.055	2	0.707	1.2	0.95	0.3	1	0.01
5	2.192	2	0.707	1.2	0.95	0.3	1	0.012
6	2.282	2	0.707	1.2	0.95	0.3	1	0.014
7	2.322	2	0.707	1.2	0.95	0.3	1	0.012
8	2.324	2	0.707	1.2	0.95	0.3	1	0.016
9	2.334	2	0.707	1.2	0.95	0.3	1	0.015
10	2.326	2	0.707	1.2	0.95	0.3	1	0.017
11	2.326	2	0.707	1.2	0.95	0.3	1	0.021
12	2.326	2	0.707	1.2	0.95	0.3	1	0.025
13	2.326	2	0.707	1.2	0.95	0.3	1	0.033
14	2.326	2	0.707	1.2	0.95	0.3	1	0.04
15	2.327	2	0.707	1.2	0.95	0.3	1	0.063
16	2.326	2	0.707	1.2	0.95	0.3	1	0.071
17	2.326	2	0.707	1.2	0.95	0.3	1	0.079
18	2.326	2	0.707	1.2	0.95	0.3	1	0.088
19	2.326	2	0.707	1.2	0.95	0.3	1	0.126
